KAWASAN,BAHAGIAN PILIHAN RAYA,Melayu,Cina,India,Sabah,Sarawak ,Orang Asli,Lain2,Kerajaan,PKR,PAS,LAIN-LAIN,BEBAS,BN
JOHOR,P. 140 - SEGAMAT,25502,23742,5580,155,175,51,133,18584,24060,2676,0,0,41.01
JOHOR,P. 141 - SEKIJANG,27117,16648,1812,13,23,81,169,18278,19559,0,0,0,48.31
JOHOR,P. 142 - LABIS,15356,18172,5968,27,19,828,99,13301,16709,2020,0,0,41.53
JOHOR,P. 143 - PAGOH,34096,15433,1928,22,19,175,81,16631,23558,2483,0,0,38.97
JOHOR,P. 144 - LEDANG,43992,30392,3598,49,30,275,157,26040,34706,4668,0,0,39.81
JOHOR,P. 145 - BAKRI,32830,39503,1593,58,57,2,238,15507,38718,7575,0,0,25.09
JOHOR,P. 146 - MUAR,34142,16161,686,40,35,7,171,15388,22341,22341,0,0,25.62
JOHOR,P. 147 - PARIT SULONG,46977,12278,282,22,30,22,144,24481,18140,7148,0,0,49.19
JOHOR,P. 148 - AYER HITAM,26797,17671,1863,11,20,2,126,17076,16773,4975,0,0,43.98
JOHOR,P. 149 - SRI GADING,34138,17449,757,39,21,4,144,18223,21511,4548,0,0,41.15
JOHOR,P. 150 - BATU PAHAT,54463,43089,1297,68,58,108,366,28035,45929,8173,0,0,34.13
JOHOR,P. 151 - SIMPANG RENGGAM,26236,13585,3880,57,42,7,235,14682,18157,2983,0,0,40.99
JOHOR,P. 152 - KLUANG,40585,46285,9283,312,690,41,471,24618,47671,8242,0,0,30.57
JOHOR,P. 153 - SEMBRONG,26633,12889,3836,19,19,578,158,21353,14691,0,0,0,59.24
JOHOR,P. 154 - MERSING,39476,6912,614,224,303,855,148,19806,11347,6215,0,0,53.00
JOHOR,P. 155 - TENGGARA,33541,7337,2997,180,510,249,242,20142,14209,2683,0,0,54.39
JOHOR,P. 156 - KOTA TINGGI,41264,4315,868,27,46,35,141,26407,11786,0,0,0,69.14
JOHOR,P. 157 - PENGERANG,36359,3589,312,73,73,88,87,21829,10412,0,0,0,67.71
JOHOR,P. 158 - TEBRAU,58705,49531,14553,344,837,102,1182,27310,64535,12098,0,0,26.27
JOHOR,P. 159 - PASIR GUDANG,61360,46865,13262,1718,1768,94,1089,36889,61615,6278,0,0,35.21
JOHOR,P. 160 - JOHOR BAHRU,53517,41928,5319,183,254,18,728,30270,50052,0,0,0,37.69
JOHOR,P. 161 - PULAI,52294,42466,11285,329,391,173,704,26523,55447,4332,0,591,30.52
JOHOR,P. 162 - ISKANDAR PUTERI,51137,70099,17826,287,465,297,521,35862,80726,0,0,0,30.76
JOHOR,P. 163 - KULAI,34952,54017,10387,210,185,12,368,22564,55312,6667,0,0,26.69
JOHOR,P. 164 - PONTIAN,38065,16797,577,26,31,41,275,21132,20299,4295,0,0,46.21
JOHOR,P. 165 - TANJUNG PIAI,30456,22367,544,47,45,6,211,20731,21255,2962,0,0,46.12
KEDAH,P. 004 - LANGKAWI,38593,2800,1033,71,60,0,162,10061,18954,5512,0,0,29.14
KEDAH,P. 005 - JERLUN,49935,3703,53,15,13,0,940,12413,18695,12829,0,0,28.25
KEDAH,P. 006 - KUBANG PASU,64273,6338,2573,130,125,5,871,16975,29984,13375,0,0,28.14
KEDAH,P. 007 - PADANG TERAP,43012,594,77,14,16,1,2964,16384,7254,15285,0,0,42.09
KEDAH,P. 008 - POKOK SENA,70958,13449,2136,65,109,2,405,18390,28959,23401,0,0,25.99
KEDAH,P. 009 - ALOR SETAR,51148,25516,3386,41,77,1,277,14181,32475,17275,0,0,22.18
KEDAH,P. 010 - KUALA KEDAH,76553,19921,1095,26,36,0,294,19400,36624,23143,0,0,24.51
KEDAH,P. 011 - PENDANG,66557,3789,405,21,22,5,4171,20728,14901,26536,0,81,33.30
KEDAH,P. 012 - JERAI,64229,10868,4748,19,33,1,211,21773,21651,22312,0,0,33.12
KEDAH,P. 013 - SIK,46770,729,83,23,18,5,2665,14870,6970,20088,0,0,35.47
KEDAH,P. 014 - MERBOK,60635,13377,13566,147,349,8,410,20830,30902,19618,0,0,29.19
KEDAH,P. 015 - SUNGAI PETANI,68890,30411,13711,39,52,6,487,23963,45532,22760,0,279,25.90
KEDAH,P. 016 - BALING,95297,4715,5513,52,48,119,1520,38557,14472,37483,0,0,42.60
KEDAH,P. 017 - PADANG SERAI,50704,16931,17829,40,37,2,288,15449,31724,22911,0,0,22.04
KEDAH,P. 018 - KULIM-BANDAR BAHARU,46239,11822,8603,39,50,3,109,18299,23159,12885,0,0,33.67
KELANTAN,P. 019 - TUMPAT,103322,3488,164,20,51,4,4152,29541,10003,47041,0,0,34.12
KELANTAN,P. 020 - PENGKALAN CHEPA,74030,1147,79,66,84,4,211,19360,7435,32592,0,0,32.60
KELANTAN,P. 021 - KOTA BHARU,75180,12599,688,35,46,0,416,16256,22422,28291,0,0,24.27
KELANTAN,P. 022 - PASIR MAS,69651,1413,43,20,24,1,219,15005,5093,28080,0,5373,28.02
KELANTAN,P. 023 - RANTAU PANJANG,64331,1353,47,15,27,3,543,18431,5361,24581,0,0,38.10
KELANTAN,P. 024 - KUBANG KERIAN,27933,680,65,9,10,0,40,16251,11557,35620,0,0,25.62
KELANTAN,P. 025 - BACHOK,91571,998,37,20,30,2,348,32896,4880,36188,0,0,44.48
KELANTAN,P. 026 - KETEREH,63218,1230,50,170,386,38,309,25467,6799,20841,0,0,47.95
KELANTAN,P. 027 - TANAH MERAH,69977,2895,435,35,42,3,497,28152,4747,25223,0,0,48.44
KELANTAN,P. 028 - PASIR PUTEH,84143,810,40,23,36,3,652,30947,4896,32307,0,0,45.41
KELANTAN,P. 029 - MACHANG,66024,2129,125,25,33,3,102,26076,5695,23252,0,0,47.39
KELANTAN,P. 030 - JELI,46674,94,52,145,171,266,126,21665,2078,15018,0,0,55.89
KELANTAN,P. 031 - KUALA KRAI,66510,2788,818,31,28,5,167,20911,5173,28903,0,0,38.03
KELANTAN,P. 032 - GUA MUSANG,43336,2958,274,29,28,5816,144,19426,4997,15513,0,0,48.64
MELAKA,P. 134 - MASJID TANAH,42935,6154,1922,53,61,192,309,22898,14739,4688,0,0,54.10
MELAKA,P. 135 - ALOR GAJAH,42996,17860,9139,69,56,433,158,22350,29330,6135,0,0,38.66
MELAKA,P. 136 - TANGGA BATU,59536,18560,2979,893,1384,68,555,27761,32420,8961,0,0,40.15
MELAKA,P. 137 - HANG TUAH JAYA,56033,28029,5145,167,119,5,477,30427,39067,7089,0,0,39.73
MELAKA,P. 138 - KOTA MELAKA,47545,72680,5122,146,129,7,1606,27343,76518,0,0,1415,25.97
MELAKA,P. 139 - JASIN,54215,11878,7247,46,53,84,231,26560,26341,8860,0,0,43.00
NEGERI SEMBILAN,P. 126 - JELEBU,31425,11711,2740,109,68,2217,95,19062,17017,2878,0,0,48.93
NEGERI SEMBILAN,P. 127 - JEMPOL,45799,16857,8918,45,37,558,162,26819,25188,5267,0,0,46.83
NEGERI SEMBILAN,P. 128 - SEREMBAN,53897,40638,14803,216,144,776,661,24809,55503,11506,0,0,27.02
NEGERI SEMBILAN,P. 129 - KUALA PILAH,38482,7897,2441,36,49,945,119,17845,18045,4347,0,0,44.35
NEGERI SEMBILAN,P. 130 - RASAH,30917,49656,21973,196,222,430,852,14939,61806,8260,0,302,17.51
NEGERI SEMBILAN,P. 131 - REMBAU,65748,9173,13897,110,115,347,322,36096,31732,6028,0,0,48.87
NEGERI SEMBILAN,P. 132 - PORT DICKSON,32501,25003,16597,518,737,164,362,18515,36225,6594,0,0,30.19
NEGERI SEMBILAN,P. 133 - TAMPIN,38492,14369,7197,243,637,83,187,21433,22435,4598,0,0,44.22
PAHANG,P. 078 - CAMERON HIGHLANDS,10770,9532,4758,40,20,6929,128,10307,9710,3587,81,0,43.52
PAHANG,P. 079 - LIPIS,27587,5545,1847,19,26,272,79,13995,7426,6671,0,0,49.82
PAHANG,P. 080 - RAUB,30074,22107,3584,28,34,1871,187,17500,20659,7866,0,0,38.02
PAHANG,P. 081 - JERANTUT,52094,8295,1653,40,32,1428,152,22640,10877,16732,0,0,45.06
PAHANG,P. 082 - INDERA MAHKOTA,52024,21014,4430,218,123,33,273,17628,28578,17515,0,0,27.66
PAHANG,P. 083 - KUANTAN,41952,18615,2125,77,60,105,207,13667,22807,14696,0,0,26.71
PAHANG,P. 084 - PAYA BESAR,46181,7071,1082,31,37,769,190,19033,11776,13291,0,0,43.16
PAHANG,P. 085 - PEKAN,78392,1823,718,218,436,7078,741,43854,7662,18995,0,0,62.19
PAHANG,P. 086 - MARAN,37038,2515,597,19,19,748,134,16064,4360,12301,0,0,49.09
PAHANG,P. 087 - KUALA KRAU,42533,1308,1074,22,22,2260,105,18058,5071,15182,0,0,47.14
PAHANG,P. 088 - TEMERLOH,50141,17029,6144,216,450,934,579,22094,23998,14734,0,224,36.19
PAHANG,P. 089 - BENTONG,31349,28129,6217,66,116,1477,212,23684,25716,5706,0,0,42.98
PAHANG,P. 090 - BERA,36333,17134,2163,122,97,2688,164,20760,18449,8096,0,0,43.89
PAHANG,P. 091 - ROMPIN,54407,1443,633,55,39,5251,233,26628,7876,15233,0,0,53.54
PERAK,P. 054 - GERIK,25035,5040,1197,214,305,3328,1108,13243,6353,7715,0,0,48.49
PERAK,P. 055 - LENGGONG,24827,3778,426,21,16,632,50,12523,3932,6750,0,0,53.97
PERAK,P. 056 - LARUT,44436,2145,2842,25,20,2,118,18184,7738,13698,0,0,45.90
PERAK,P. 057 - PARIT BUNTAR,35927,13364,2477,26,10,0,70,13655,16753,12312,0,0,31.96
PERAK,P. 058 - BAGAN SERAI,46233,7635,5408,23,20,1,83,17220,12987,17048,0,0,36.44
PERAK,P. 059 - BUKIT GANTANG,50774,13268,5975,31,38,5,147,22450,18361,16052,0,0,39.48
PERAK,P. 060 - TAIPING,35409,42261,12371,216,590,30,415,15613,42997,11133,0,0,22.39
PERAK,P. 061 - PADANG RENGAS,24110,4766,2071,6,11,1,42,10491,7943,6847,0,0,41.50
PERAK,P. 062 - SUNGAI SIPUT,18876,20028,11550,27,23,4560,89,15210,20817,5194,1505,0,35.60
PERAK,P. 063 - TAMBUN,71802,22087,12553,186,334,1156,497,33341,38661,14948,0,0,38.35
PERAK,P. 064 - IPOH TIMOR,19254,66176,5927,77,83,18,363,13722,56519,0,0,0,19.54
PERAK,P. 065 - IPOH BARAT,10052,53947,20991,33,47,23,410,9889,55613,0,0,0,15.10
PERAK,P. 066 - BATU GAJAH,8161,61394,12124,33,39,40,241,8982,52850,0,955,0,14.31
PERAK,P. 067 - KUALA KANGSAR,26079,7977,2446,26,20,383,93,12102,11371,6583,0,0,40.26
PERAK,P. 068 - BERUAS,21049,47826,11453,77,57,7,164,13277,41231,5759,0,0,22.03
PERAK,P. 069 - PARIT,33455,803,906,23,28,665,80,14035,7240,7715,0,0,48.41
PERAK,P. 070 - KAMPAR,23250,38353,6413,34,40,1207,176,18415,30216,3864,0,0,35.08
PERAK,P. 071 - GOPENG,42459,46193,9139,79,76,2081,262,19145,48923,11165,0,0,24.16
PERAK,P. 072 - TAPAH,21873,12169,6745,41,47,6117,246,16086,15472,4616,0,0,44.47
PERAK,P. 073 - PASIR SALAK,44166,7051,1899,24,26,1504,85,20003,12291,11151,0,0,46.04
PERAK,P. 074 - LUMUT,48641,10092,7747,385,427,21,203,21555,21955,10135,0,0,40.18
PERAK,P. 075 - BAGAN DATUK,28049,8490,10232,167,79,8,546,18909,13836,4061,0,0,51.37
PERAK,P. 076 - TELUK INTAN,27150,26886,12508,15,24,142,229,17991,29170,6494,0,0,33.53
PERAK,P. 077 - TANJONG MALIM,38216,17558,8974,41,47,3641,302,19314,24672,10311,0,0,35.57
PERLIS,P. 001 - PADANG BESAR,39985,3876,410,140,324,8,1416,15032,13594,7874,0,0,41.18
PERLIS,P. 002 - KANGAR,45819,8552,933,45,49,1,690,15306,20909,8465,0,0,34.26
PERLIS,P. 003 - ARAU,42243,3688,799,45,33,3,1381,16547,11691,11362,0,0,41.79
PULAU PINANG,P. 041 - KEPALA BATAS,47764,10370,2544,39,38,1,84,22459,17723,12120,0,0,42.94
PULAU PINANG,P. 042 - TASEK GELUGOR,47815,9046,4058,73,96,1,141,18547,18466,14891,0,0,35.73
PULAU PINANG,P. 043 - BAGAN,9602,51359,10924,42,18,0,203,7751,51653,0,683,0,12.90
PULAU PINANG,P. 044 - PERMATANG PAUH,59277,17575,5142,59,50,3,294,19866,35534,14428,0,0,28.45
PULAU PINANG,P. 045 - BUKIT MERTAJAM,17285,63070,8998,49,24,0,236,10907,63784,0,0,0,14.60
PULAU PINANG,P. 046 - BATU KAWAN,13720,36859,15120,58,29,1,198,9130,42683,2636,256,0,16.69
PULAU PINANG,P. 047 - NIBONG TEBAL,35024,25947,12689,56,33,6,147,19578,35395,6875,0,331,31.49
PULAU PINANG,P. 048 - BUKIT BENDERA,11071,54943,8590,79,67,2,802,9318,50049,0,339,0,15.61
PULAU PINANG,P. 049 - TANJONG,2956,41578,4794,28,21,0,157,5064,34663,0,0,0,12.75
PULAU PINANG,P. 050 - JELUTONG,17527,50520,9137,56,36,3,309,12529,50700,0,437,0,19.68
PULAU PINANG,P. 051 - BUKIT GELUGOR,13204,68240,10523,52,39,0,428,9671,65622,0,412,0,12.77
PULAU PINANG,P. 052 - BAYAN BARU,36218,44676,10183,181,164,2,459,13804,51555,8757,733,0,18.44
PULAU PINANG,P. 053 - BALIK PULAU,28703,18068,2673,87,59,2,165,19007,25471,5298,0,0,38.19
SABAH,P. 167 - KUDAT,3364,4897,82,38242,161,5,6045,18503,0,0,18576,0,49.90
SABAH,P. 168 - KOTA MARUDU,1921,1056,44,43991,125,3,735,13033,0,0,20873,0,38.44
SABAH,P. 169 - KOTA BELUD,2590,841,94,53683,140,1,1135,19167,0,1410,25521,0,41.58
SABAH,P. 170 - TUARAN,2862,2930,131,47832,216,2,992,22494,14870,1357,4922,0,51.54
SABAH,P. 171 - SEPANGGAR,10322,12489,342,36531,504,10,3572,15436,0,0,32349,0,32.30
SABAH,P. 172 - KOTA KINABALU,3019,36115,528,14824,250,2,1922,7546,0,0,34764,0,17.84
SABAH,P. 173 - PUTATAN,9300,6655,304,22653,448,10,2511,11767,14106,2434,2483,0,38.22
SABAH,P. 174 - PENAMPANG,2801,18236,396,31329,370,2,907,8997,0,0,34111,0,20.87
SABAH,P. 175 - PAPAR,4549,3411,175,34160,268,1,1504,17069,0,0,18767,0,47.63
SABAH,P. 176 - KIMANIS,3391,1078,48,24494,162,0,741,11942,0,0,13086,0,47.71
SABAH,P. 177 - BEAUFORT,2801,2294,114,27582,210,3,688,11354,7835,0,8023,0,41.72
SABAH,P. 178 - SIPITANG,3123,1303,61,26471,549,1,642,12038,0,0,12733,0,48.60
SABAH,P. 179 - RANAU,1353,783,32,41576,142,3,326,13804,14880,0,4258,0,41.90
SABAH,P. 180 - KENINGAU,2975,4659,111,42968,342,3,1189,12742,0,0,13241,447,48.21
SABAH,P. 181 - TENOM,2072,3066,37,23593,144,2,494,10230,0,0,12008,0,46.00
SABAH,P. 182 - PENSIANGAN,850,402,27,30336,94,1,279,11783,9469,0,3051,65,48.35
SABAH,P. 183 - BELURAN,2476,282,45,23797,355,2,1890,13007,0,0,7445,246,62.84
SABAH,P. 184 - LIBARAN,13338,8311,130,20078,454,5,6676,17799,0,0,18344,0,49.25
SABAH,P. 185 - BATU SAPI,5826,10164,107,13632,285,10,3132,8357,0,948,13956,0,35.93
SABAH,P. 186 - SANDAKAN,5610,20385,246,11112,258,5,2739,8996,0,0,19094,0,32.03
SABAH,P. 187 - KINABATANGAN,4637,218,33,22371,291,3,1608,14465,0,0,7053,0,67.22
SABAH,P. 188 - SILAM,16042,6844,275,31589,693,4,6910,16951,0,1431,24658,0,39.38
SABAH,P. 189 - SEMPORNA,4674,847,54,42130,182,7,1281,6135,0,384,26907,0,18.35
SABAH,P. 190 - TAWAU,21200,21005,180,11224,602,3,6776,16673,21400,2518,2162,0,39.00
SABAH,P. 191 - KALABAKAN,25381,4762,187,10861,1046,8,10809,15299,0,2813,18797,0,41.45
SARAWAK,P. 192 - MAS GADING,1602,5330,46,78,22895,5,64,9747,0,0,12771,0,43.29
SARAWAK,P. 193 - SANTUBONG,36961,3534,18,44,5410,6,50,26379,6894,0,0,0,79.28
SARAWAK,P. 194 - PETRA JAYA,43175,7795,325,126,7410,4,164,28306,13289,1350,0,0,65.91
SARAWAK,P. 195 - BANDAR KUCHING,3297,72889,548,143,5126,3,201,12575,0,0,48548,0,20.57
SARAWAK,P. 196 - STAMPIN,10688,43320,469,155,12531,15,152,18839,0,0,33060,0,36.30
SARAWAK,P. 197 - KOTA SAMARAHAN,28746,5349,112,300,12114,29,115,25070,8078,2719,0,0,69.90
SARAWAK,P. 198 - PUNCAK BORNEO,2220,12076,89,121,31988,57,121,14860,18865,0,795,0,43.05
SARAWAK,P. 199 - SERIAN,2878,3795,47,76,30855,216,66,17545,0,0,7640,2234,63.99
SARAWAK,P. 200 - BATANG SADONG,16355,1182,9,28,5661,11,54,14208,1880,978,0,0,83.25
SARAWAK,P. 201 - BATANG LUPAR,20132,850,6,27,8909,5,22,14204,2020,3927,0,0,70.49
SARAWAK,P. 202 - SRI AMAN,3426,5542,14,65,24189,34,62,14141,8321,0,538,0,61.48
SARAWAK,P. 203 - LUBOK ANTU,324,1637,4,48,18973,3,32,4775,3942,0,0,5834,32.82
SARAWAK,P. 204 - BETONG,11230,1930,17,39,16167,6,39,12517,3802,0,0,4401,60.41
SARAWAK,P. 205 - SARATOK,11100,1975,9,27,17663,4,35,10859,11848,0,0,0,47.82
SARAWAK,P. 206 - TANJONG MANIS,5724,1069,6,45,15128,4,102,11402,2728,0,0,0,80.69
SARAWAK,P. 207 - IGAN,1340,725,7,62,17481,2,38,10538,2043,0,0,0,83.76
SARAWAK,P. 208 - SARIKEI,1840,25119,11,64,12954,4,66,13757,0,0,16719,0,45.14
SARAWAK,P. 209 - JULAU,161,1166,7,30,24248,2,31,8174,0,0,0,10105,44.72
SARAWAK,P. 210 - KANOWIT,333,2486,5,23,18378,6,28,9552,5240,0,0,0,64.58
SARAWAK,P. 211 - LANANG,2260,42874,33,174,17358,11,70,15359,0,0,30533,0,33.47
SARAWAK,P. 212 - SIBU,8292,46941,75,270,19286,26,120,22389,0,0,34364,0,39.45
SARAWAK,P. 213 - MUKAH,1004,2868,13,117,27149,4,80,13853,6853,0,0,0,66.90
SARAWAK,P. 214 - SELANGAU,334,1017,2,42,28900,2,114,10742,11228,0,0,0,48.89
SARAWAK,P. 215 - KAPIT,802,2805,16,49,27127,5,38,14302,0,0,3823,0,78.91
SARAWAK,P. 216 - HULU RAJANG,267,443,8,68,26780,63,66,11834,5519,0,0,0,68.20
SARAWAK,P. 217 - BINTULU,7181,19227,64,258,40515,5,122,27076,0,0,20382,0,57.05
SARAWAK,P. 218 - SIBUTI,7744,7064,33,131,17337,3,130,12214,8538,1617,0,0,54.60
SARAWAK,P. 219 - MIRI,12524,45117,238,378,23273,9,256,22076,35739,0,0,0,38.18
SARAWAK,P. 220 - BARAM,1738,2829,16,92,31276,87,85,12171,10181,0,0,0,54.45
SARAWAK,P. 221 - LIMBANG,7479,4770,20,2019,12173,12,73,12589,4879,0,0,0,72.07
SARAWAK,P. 222 - LAWAS,8560,1979,18,378,10379,4,86,10037,4037,0,0,176,70.44
SELANGOR,P. 092 - SABAK BERNAM,34067,4957,2021,20,27,3,91,12862,11188,9300,0,0,38.57
SELANGOR,P. 093 - SUNGAI BESAR,33513,14214,993,54,24,4,181,16636,17350,7220,0,0,40.37
SELANGOR,P. 094 - HULU SELANGOR,61994,21213,16700,178,174,1676,680,27392,40783,16620,0,426,32.14
SELANGOR,P. 095 - TANJONG KARANG,35399,7598,4258,25,18,1,181,17596,15626,7276,0,0,43.45
SELANGOR,P. 096 - KUALA SELANGOR,45826,9026,14765,74,55,6,269,21344,29842,8535,0,0,35.74
SELANGOR,P. 097 - SELAYANG,60886,33913,21372,265,215,254,1442,19501,60158,18343,0,0,19.90
SELANGOR,P. 098 - GOMBAK,107719,15376,15534,216,198,559,3152,26392,75113,17537,0,0,22.17
SELANGOR,P. 099 - AMPANG,50729,32192,8233,193,130,9,1510,12351,54307,9598,294,0,16.13
SELANGOR,P. 100 - PANDAN,46330,47486,7457,353,162,9,927,12190,64733,8336,442,73,14.21
SELANGOR,P. 101 - HULU LANGAT,67444,23022,11072,331,277,766,1268,23580,49004,15663,0,0,26.72
SELANGOR,P. 102 - BANGI,88284,71282,20722,548,429,21,1786,19766,102557,33789,215,0,12.64
SELANGOR,P. 103 - PUCHONG,35973,51508,10109,329,167,147,499,12794,60429,10255,0,0,15.33
SELANGOR,P. 104 - SUBANG,39527,84570,23112,628,418,13,1585,12077,104430,9025,0,173,9.61
SELANGOR,P. 105 - PETALING JAYA ,66301,45592,28285,488,333,11,1934,21847,78984,14448,0,0,18.95
SELANGOR,P. 106 - DAMANSARA,32649,115610,15929,325,203,336,1714,14380,121283,,617,0,10.55
SELANGOR,P. 107 - SUNGAI BULOH,60495,20295,10088,445,444,42,1376,16681,43631,16997,642,0,21.40
SELANGOR,P. 108 - SHAH ALAM,82077,12091,13992,349,263,81,594,22100,55949,15194,0,0,23.70
SELANGOR,P. 109 - KAPAR,89112,19009,18084,331,117,37,767,26412,47731,31425,525,0,24.90
SELANGOR,P. 110 - KLANG,39868,83191,26095,583,186,91,1034,19506,98279,9169,0,120,15.35
SELANGOR,P. 111 - KOTA RAJA,64970,42616,42901,978,237,11,1194,17874,90697,19555,0,0,13.95
SELANGOR,P. 112 - KUALA LANGAT,59036,24979,17168,207,134,1770,535,26127,43239,18731,0,0,29.66
SELANGOR,P. 113 - SEPANG,66251,21706,15335,337,251,2149,610,28035,46740,15882,0,0,30.92
TERENGGANU,P. 033 - BESUT,85762,1225,80,55,62,11,247,34335,6864,29736,0,0,48.40
TERENGGANU,P. 034 - SETIU,86336,281,26,46,31,3,127,32218,4740,35020,0,0,44.76
TERENGGANU,P. 035 - KUALA NERUS,83301,798,68,54,55,1,124,29527,4604,37974,0,0,40.95
TERENGGANU,P. 036 - KUALA TERENGGANU,93517,9531,533,52,49,2,189,28215,15380,42988,0,0,32.59
TERENGGANU,P. 037 - MARANG,103177,2129,78,43,51,1,149,31795,5138,53749,0,0,35.06
TERENGGANU,P. 038 - HULU TERENGGANU,73145,354,28,27,26,155,98,30925,3364,28057,0,0,49.60
TERENGGANU,P. 039 - DUNGUN,87446,3077,160,67,52,2,266,27731,6833,40850,0,0,36.77
TERENGGANU,P. 040 - KEMAMAN,101450,5834,662,67,104,219,269,37715,12911,39878,0,0,41.67
KUALA LUMPUR,P. 114 - KEPONG,3319,64956,4478,232,34,2,245,4888,56516,0,0,0,7.96
KUALA LUMPUR,P. 115 - BATU,32632,29476,13658,257,342,15,777,13687,0,10610,0,38508,21.79
KUALA LUMPUR,P. 116 - WANGSA MAJU,53073,26407,7366,411,536,36,1241,17940,42178,13490,0,0,24.37
KUALA LUMPUR,P. 117 - SEGAMBUT,21705,46788,9286,114,96,11,1229,7422,53124,4181,0,0,11.47
KUALA LUMPUR,P. 118 - SETIAWANGSA,44331,18750,7637,543,774,28,570,20099,34471,6282,0,0,33.03
KUALA LUMPUR,P. 119 - TITIWANGSA,43548,10663,5821,312,239,6,1261,19701,23840,6845,0,0,39.10
KUALA LUMPUR,P. 120 - BUKIT BINTANG,8559,51988,7670,252,186,10,518,7256,44516,0,636,0,13.85
KUALA LUMPUR,P. 121 - LEMBAH PANTAI,50428,15331,13195,577,412,20,1287,27715,33313,5277,0,0,41.80
KUALA LUMPUR,P. 122 - SEPUTEH,7898,71461,6972,207,79,3,655,7035,63094,0,0,0,10.03
KUALA LUMPUR,P. 123 - CHERAS,7656,65396,5371,174,51,7,306,7006,56671,0,0,0,11.00
KUALA LUMPUR,P. 124 - BANDAR TUN RAZAK,51656,24558,6992,365,449,14,494,21196,41126,7884,0,0,30.19
LABUAN,P. 166 - LABUAN,12038,5906,383,9041,492,3,902,10164,0,1555,9639,0,47.59
PUTRAJAYA,P. 125 - PUTRAJAYA,26806,253,924,260,127,10,137,12148,8776,3634,0,0,49.47
